name,user.handle,username,bio,tweet text,profile URL,location,createdAt,favorite_count,followers_count,country,source query
Gold Macro Notes,goldmacronotes,goldmacronotes,"XAUUSD trader. London session charts and risk plans.","XAUUSD respected the 4H supply zone. Waiting for confirmation before any entry.","https://x.com/goldmacronotes",London UK,2026-06-20T09:15:00Z,42,18400,UK,"XAUUSD trader UK"
Gold Macro Notes,@GoldMacroNotes,goldmacronotes,"XAUUSD trader. London session charts and risk plans.","London open plan: gold needs a clean break before I touch it.","https://x.com/goldmacronotes",London UK,2026-06-22T07:10:00Z,31,18400,UK,"gold trading UK"
Gold Macro Notes,goldmacronotes,goldmacronotes,"XAUUSD trader. London session charts and risk plans.","Older XAUUSD note from last week, still watching the same 4H zone.","https://x.com/goldmacronotes",London UK,2026-06-12T10:00:00Z,80,18400,UK,"XAUUSD trader UK"
Maya FX,maya_fx,@maya_fx,"Forex learner sharing EURUSD and gold setups.","Gold is still the cleanest pair for me this week, but I am keeping risk small.","https://x.com/maya_fx",Toronto,2026-06-18T14:22:00Z,17,2200,Canada,"gold trading Canada"
Crypto Rocket Deals,cryptorocket,cryptorocket,"100x crypto calls. Guaranteed pump alerts.","Join my coin now for guaranteed profit. No loss possible.","https://x.com/cryptorocket",Berlin,2026-06-17T21:40:00Z,3,9100,Germany,"forex Germany"
Jean Market Journal,jeanmarkets,jeanmarkets,"Macro, indices, commodities, and trading psychology.","L'or reste interessant mais je prefere attendre la cassure avant de trader.","https://x.com/jeanmarkets",Paris,2026-06-12T08:05:00Z,29,5400,France,"gold trading France"
Sara Lifestyle,sara_daily,sara_daily,"Food, travel, family, weekend photos.","Best coffee in Milan today.","https://x.com/sara_daily",Milan,2026-06-19T11:03:00Z,12,1900,Italy,"trading Italy"
Dubai Gold Room,dubaigoldroom,dubaigoldroom,"Gold market updates, XAUUSD watchlist, risk-first trading.","XAUUSD NY session plan: mark liquidity first, then wait for reaction.","https://x.com/dubaigoldroom",Dubai UAE,2026-06-21T16:10:00Z,55,7200,UAE,"XAUUSD UAE"
Dubai Gold Room,@DubaiGoldRoom,dubaigoldroom,"Gold market updates, XAUUSD watchlist, risk-first trading.","Gold volatility after US data can be messy, so I am waiting for structure.","https://x.com/dubaigoldroom",Dubai UAE,2026-06-23T15:40:00Z,44,7200,UAE,"gold trading UAE"
Kamil Charts,kamil_charts,kamil_charts,"Price action student. Forex and metals.","XAUUSD gave a nice reaction from yesterday's demand, but I skipped late entries.","https://x.com/kamil_charts",Warsaw,2026-06-10T10:30:00Z,23,3100,Poland,"forex Poland"
Riyadh Finance Club,riyadhfinance,riyadhfinance,"Stocks, commodities, economy, Arabic finance community.","Gold volatility is back before the US data release.","https://x.com/riyadhfinance",Riyadh Saudi Arabia,2026-06-11T13:20:00Z,36,6500,Saudi Arabia,"gold trading Saudi Arabia"
