country,handle,display_name,followers_estimate,bio_snippet,profile_url,why_relevant,niche,source_urls,discovered_at,created_at,,,,
Saudi Arabia,@JanGold_,Jan Nieuwenhuijs,,Jan Nieuwenhuijs (@JanGold_) - Posts - Gold analyst. I mostly tweet about economics and financial markets. | X (formerly Twitter),https://x.com/JanGold_,Saudi Arabia forex/gold creator — Jan Nieuwenhuijs (@JanGold_) / Posts / X - Twitter,forex-gold-signals,"[""https://x.com/JanGold_""]",2026-06-26 13:31:32.777511+00,2026-06-26 13:31:32.777511+00,,,discovered_at,created_at
France,@VincentGanne,Vincent Ganne,,"Location: Paris, France Joined: Analyste financier. Vues de marché techniques (CFTe) et global macro. Fast & Forex Le Dollar US",https://x.com/VincentGanne,France forex/gold creator — Vincent Ganne (@VincentGanne) / Posts / X - Twitter,forex-gold-signals,"[""https://x.com/VincentGanne""]",2026-06-26 13:41:04.849099+00,2026-06-26 13:41:04.849099+00,,,2026-06-26 13:31:32.777511+00,2026-06-26 13:31:32.777511+00
Germany,@PhilipForexCom,Philip Paps,,"Deutschland schwach: Industrieaufträge -4% OECD-Wachstumsprognose: USA 2%, EU nur 0,8% #Aktienmarkt #Nikkei #Ölpreis #AI #OpenAI #Nvidia #Zinsen #Inflation ...",https://x.com/PhilipForexCom,Germany forex/gold creator — Philip Paps (@PhilipForexCom) / Posts / X - Twitter,forex-gold-signals,"[""https://x.com/PhilipForexCom""]",2026-06-26 13:40:50.270281+00,2026-06-26 13:40:50.270281+00,,,2026-06-26 13:41:04.849099+00,2026-06-26 13:41:04.849099+00
UAE,@cmsprime_en,CMS Prime,,Global multi-asset broker offering unparalleled trading conditions designed to meet & exceed all expectations from both professional & novice traders.Read more,https://x.com/cmsprime_en,UAE forex/gold creator — CMS Prime (@cmsprime_en) / Posts / X,forex-gold-signals,"[""https://x.com/cmsprime_en""]",2026-06-26 13:31:24.858374+00,2026-06-26 13:31:24.858374+00,,,2026-06-26 13:40:50.270281+00,2026-06-26 13:40:50.270281+00
Canada,@Habbyforex_,Habbyfx,,"HABBY fOREX ACAdEMy. -HIGHEST PAID DAY TRADER IN AFRICA , -I TOLD EM “ I'M THE F<>KING BEST “ , -MY LIFE IS A MOVIE , -READ MY BOOK & BE ...",https://x.com/Habbyforex_,Canada forex/gold creator — Habbyfx (@Habbyforex_) / Posts / X - Twitter,forex-gold-signals,"[""https://x.com/Habbyforex_""]",2026-06-26 13:31:14.887563+00,2026-06-26 13:31:14.887563+00,,,2026-06-26 13:31:24.858374+00,2026-06-26 13:31:24.858374+00
Canada,@ForexDirectory1,Forex Directory,,"Find the best FOREX Brokers, FOREX Bonuses, FOREX Signals, FOREX Affiliate Programs, FOREX News, FOREX Rates and everything FOREX related on Forex Directory!",https://x.com/ForexDirectory1,Canada forex/gold creator — Forex Directory (@ForexDirectory1) / Posts / X - Twitter,forex-gold-signals,"[""https://x.com/ForexDirectory1""]",2026-06-26 13:40:37.613372+00,2026-06-26 13:40:37.613372+00,,,2026-06-26 13:31:14.887563+00,2026-06-26 13:31:14.887563+00
France,@carter_dai24769,Daisy Cater | FX Trader,,Daisy Cater | FX Trader (@carter_dai24769) - Posts - CMT Certified #XAUUSD #Forex & #Indices Trader Helping traders read charts & trends.,https://x.com/carter_dai24769,France forex/gold creator — Daisy Cater | FX Trader (@carter_dai24769) / Posts / X - Twitter,forex-gold-signals,"[""https://x.com/carter_dai24769""]",2026-06-26 13:41:00.602342+00,2026-06-26 13:41:00.602342+00,,,2026-06-26 13:40:37.613372+00,2026-06-26 13:40:37.613372+00
Italy,@LyraN56965,Lyra Nayeli,,"Mi sono assicurato un profitto netto di $1.883,25 su XAUUSD con una solida posizione di vendita da 3312,63 a 3294,00. Pazienza, analisi e strategia = risultati ...",https://x.com/LyraN56965?lang=bg,Italy forex/gold creator — Lyra Nayeli (@LyraN56965) / Posts / X - Twitter,forex-gold-signals,"[""https://x.com/LyraN56965?lang=bg""]",2026-06-26 13:40:45.5169+00,2026-06-26 13:40:45.5169+00,,,2026-06-26 13:41:00.602342+00,2026-06-26 13:41:00.602342+00
UAE,@Tphitxauusd,TP HIT XAUUSD Forex,,"TP HIT XAUUSD Forex (@Tphitxauusd) - Posts - Helping you to trade effectively, without getting lost in your emotions. #Trading #Forextrading.",https://x.com/Tphitxauusd,UAE forex/gold creator — TP HIT XAUUSD Forex (@Tphitxauusd) / Posts / X,forex-gold-signals,"[""https://x.com/Tphitxauusd""]",2026-06-26 13:31:28.121793+00,2026-06-26 13:31:28.121793+00,,,2026-06-26 13:40:45.5169+00,2026-06-26 13:40:45.5169+00
Italy,@ITADubai,ITA Dubai,,"Hand of Gold celebrates the connection between Italian artistry and regional inspiration, highlighting collections that bring together Italian expertise, ...",https://x.com/ITADubai,Italy forex/gold creator — ITA Dubai (@ITADubai) / Posts / X - Twitter,forex-gold-signals,"[""https://x.com/ITADubai""]",2026-06-26 13:31:19.016062+00,2026-06-26 13:31:19.016062+00,,,2026-06-26 13:31:28.121793+00,2026-06-26 13:31:28.121793+00
